1714	63
11392	0	-3
17941	42	36
11856	3	-4
9909	-10	64
9837	-10	-8
2388	-58	-17
10618	-5	-2
18403	45	33
12172	5	2
11491	0	96
8599	-18	-6
3316	-52	-19
11844	3	-16
18408	45	38
8444	-19	-6
480	-70	-65
11237	-1	-3
1411	-64	-64
11388	0	-7
16442	33	-68
13564	14	-1
15512	27	-68
11553	1	3
10375	-7	65
10323	-7	13
20278	57	48
11701	2	-4
9687	-11	-3
2227	-59	-23
11233	-1	-7
22639	73	-71
13565	14	0
20277	57	47
9839	-10	-6
15976	30	-69
10931	-3	1
18251	44	36
10153	-8	-2
18717	47	37
12473	7	-7
18713	47	33
1416	-64	-59
11699	2	-6
17481	39	41
11387	0	-8
1880	-61	-60
12636	8	1
19966	55	46
10160	-8	5
20743	60	48
11541	1	-9
15050	24	-65
12495	7	15
20124	56	49
12318	6	-7
3006	-54	-19
11849	3	-11
3313	-52	-22
10624	-5	4
2226	-59	-24
11536	1	-14
18096	43	36
11861	3	1
10376	-7	66
11645	1	95
12002	4	-13
1413	-64	-62
12156	5	-14
22169	70	-76
11232	-1	-8
2189	-59	-61
11866	3	6
9759	-11	69
9547	-12	12
1724	-62	-61
23102	76	-73
1613	-63	-17
9531	-12	-4
23566	79	-74
12474	7	-6
2848	-55	-22
2849	-55	-21
9548	-12	13
23408	78	-77
19969	55	49
10779	-4	4
3157	-53	-23
18250	44	35
11398	0	3
15822	29	-68
23103	76	-72
10319	-7	9
18407	45	37
9376	-13	-4
11956	3	96
12480	7	0
15206	25	-64
10320	-7	10
10529	-6	64
10163	-8	8
23257	77	-73
11697	2	-8
11333	-1	93
11848	3	-12
2384	-58	-21
10625	-5	5
15198	25	-72
11860	3	0
19967	55	47
12330	6	5
1103	-66	-62
12635	8	0
23721	80	-74
9997	-9	-3
11490	0	95
12420	6	95
12003	4	-12
15360	26	-65
10776	-4	1
2386	-58	-19
9532	-12	-3
11797	2	92
10475	-6	10
22791	74	-74
18404	45	34
9703	-11	13
11800	2	95
12321	6	-4
9133	-15	63
8443	-19	-7
11492	0	97
12001	4	-14
15355	26	-70
11691	2	-14
1565	-63	-65
12629	8	-6
12732	8	97
14737	22	-68
12114	4	99
950	-67	-60
10315	-7	5
3007	-54	-18
12339	6	14
19814	54	49
10318	-7	8
12579	7	99
8979	-16	64
11867	3	7
9908	-10	63
10308	-7	-2
16132	31	-68
10775	-4	0
1727	-62	-58
2235	-59	-15
12175	5	5
9392	-13	12
1610	-63	-20
2543	-57	-17
11802	2	97
10473	-6	8
18566	46	41
2693	-56	-22
12326	6	1
19963	55	43
12185	5	15
16291	32	-64
12018	4	3
3471	-51	-19
10378	-7	68
10223	-8	68
20273	57	43
22945	75	-75
636	-69	-64
11696	2	-9
9600	-12	65
2228	-59	-22
16443	33	-67
12017	4	2
20126	56	51
20279	57	49
20589	59	49
11084	-2	-1
18565	46	40
10619	-5	-1
15668	28	-67
18874	48	39
951	-67	-59
2695	-56	-20
18402	45	32
1882	-61	-58
18097	43	37
10221	-8	66
10161	-8	6
22631	73	-79
13721	15	1
19973	55	53
11543	1	-7
2385	-58	-20
12171	5	1
9757	-11	67
10930	-3	0
10528	-6	63
1765	-62	-20
