1934	63
13563	14	-2
2031	-60	-64
10320	-7	10
15201	25	-69
11867	3	7
10222	-8	67
10618	-5	-2
15360	26	-65
13565	14	0
943	-67	-67
12156	5	-14
2695	-56	-20
12340	6	15
18252	44	37
9548	-12	13
9757	-11	67
10153	-8	-2
11959	3	99
10931	-3	1
9289	-14	64
12474	7	-6
17785	41	35
10164	-8	9
10073	-9	73
12017	4	2
2849	-55	-21
8443	-19	-7
2850	-55	-20
12574	7	94
11865	3	5
10224	-8	69
11237	-1	-3
797	-68	-58
11554	1	4
20128	56	53
11699	2	-6
15359	26	-66
11545	1	-5
18253	44	38
8444	-19	-6
8829	-17	69
11085	-2	0
2032	-60	-63
11843	3	-17
21209	63	49
10625	-5	5
2391	-58	-14
10478	-6	13
2694	-56	-21
9752	-11	62
11084	-2	-1
18251	44	36
12185	5	15
10714	-5	94
9842	-10	-3
18094	43	34
17787	41	37
12327	6	2
22791	74	-74
11856	3	-4
18563	46	38
953	-67	-57
11697	2	-8
20127	56	52
10772	-4	-3
22635	73	-75
11849	3	-11
2232	-59	-18
2540	-57	-20
11866	3	6
20438	58	53
11704	2	-1
11182	-2	97
10323	-7	13
22949	75	-71
12629	8	-6
11801	2	96
11551	1	1
11392	0	-3
1104	-66	-61
22013	69	-77
22641	73	-69
11536	1	-14
1258	-65	-62
13411	13	1
2231	-59	-19
13409	13	-1
18713	47	33
22019	69	-71
11691	2	-14
16135	31	-65
11178	-2	93
11711	2	6
22637	73	-73
14895	23	-65
12002	4	-13
22794	74	-71
11232	-1	-8
14735	22	-70
11859	3	-1
2385	-58	-20
12001	4	-14
11957	3	97
10624	-5	4
11331	-1	91
9532	-12	-3
22638	73	-72
12577	7	97
20125	56	50
12420	6	95
10161	-8	6
3470	-51	-20
948	-67	-62
15512	27	-68
13719	15	-1
23416	78	-69
11391	0	-4
9296	-14	71
10619	-5	-1
11700	2	-5
19812	54	47
20278	57	48
11553	1	3
3624	-50	-21
12635	8	0
1922	-61	-18
10474	-6	9
10067	-9	67
950	-67	-60
2229	-59	-21
11233	-1	-7
15357	26	-68
23256	77	-74
20589	59	49
15981	30	-64
9531	-12	-4
11800	2	95
11083	-2	-2
10528	-6	63
11541	1	-9
9912	-10	67
10462	-6	-3
11181	-2	96
19968	55	48
15202	25	-68
15821	29	-69
11077	-2	-8
20276	57	46
11388	0	-7
18097	43	37
11542	1	-8
15667	28	-68
9376	-13	-4
9756	-11	66
16288	32	-67
12477	7	-3
17944	42	39
10617	-5	-3
2033	-60	-62
11712	2	7
18250	44	35
12109	4	94
12157	5	-13
1254	-65	-66
10463	-6	-2
19350	51	50
22792	74	-73
17321	38	36
10163	-8	8
22326	71	-74
12172	5	2
20748	60	53
11387	0	-8
12004	4	-11
11648	1	98
9843	-10	-2
23100	76	-75
12016	4	1
21705	67	-75
9703	-11	13
9908	-10	63
12174	5	4
20284	57	54
12311	6	-14
22786	74	-79
10169	-8	14
2228	-59	-22
10873	-4	98
18096	43	36
10318	-7	8
1263	-65	-57
11848	3	-12
20902	61	52
19817	54	52
22166	70	-79
23096	76	-79
484	-70	-61
11706	2	1
22946	75	-74
9688	-11	-2
16445	33	-65
11860	3	0
11645	1	95
12318	6	-7
23106	76	-69
173	-72	-62
10776	-4	1
12421	6	96
10930	-3	0
10779	-4	4
2074	-60	-21
15205	25	-65
12263	5	93
18401	45	31
15507	27	-73
2854	-55	-16
946	-67	-64
11398	0	3
1768	-62	-17
1255	-65	-65
15052	24	-63
11389	0	-6
22795	74	-70
11239	-1	-1
20429	58	44
1417	-64	-58
22636	73	-74
20435	58	50
9683	-11	-7
9608	-12	73
19815	54	50
13564	14	-1
11955	3	95
10063	-9	63
12478	7	-2
9755	-11	65
10774	-4	-1
20279	57	49
19022	49	32
20432	58	47
18254	44	39
10308	-7	-2
15200	25	-70
23097	76	-78
19182	50	37
8599	-18	-6
22476	72	-79
12479	7	-1
11855	3	-5
20591	59	51
11701	2	-4
15822	29	-68
11339	-1	99
19656	53	46
1613	-63	-17
12321	6	-4
12480	7	0
11802	2	97
1572	-63	-58
18095	43	35
16130	31	-70
10223	-8	68
10319	-7	9
2036	-60	-59
22951	75	-69
1726	-62	-59
17937	42	32
12631	8	-4
22481	72	-74
11336	-1	96
12330	6	5
15356	26	-69
11692	2	-13
18093	43	33
12473	7	-7
18565	46	40
10160	-8	5
12171	5	1
11486	0	91
9377	-13	-3
17628	40	33
2541	-57	-19
13566	14	1
1881	-61	-59
10324	-7	14
2543	-57	-17
18406	45	36
9702	-11	12
23877	81	-73
10315	-7	5
1722	-62	-63
11644	1	94
10773	-4	-2
9137	-15	67
1109	-66	-56
9754	-11	64
1412	-64	-63
11688	2	-17
8979	-16	64
12322	6	-3
10373	-7	63
12323	6	-2
11952	3	92
10066	-9	66
17633	40	38
1419	-64	-56
3319	-52	-16
17782	41	32
12000	4	-15
23570	79	-70
2076	-60	-19
10775	-4	0
20123	56	48
15977	30	-68
22175	70	-70
9758	-11	68
12155	5	-15
18246	44	31
12326	6	1
20433	58	48
11082	-2	-3
