iter 	 particle_index 	 TN_Cost 	 PT_Veh 	 RS_Veh

-1	0	-1	10297	16
-1	1	-1	350	15
-1	2	-1	350	16
-1	3	-1	350	16
-1	4	-1	350	15
-1	5	-1	350	14
-1	6	-1	350	14
-1	7	-1	350	16
-1	8	-1	350	15
-1	9	-1	350	15
-1	10	-1	350	16
0	1	-1	3820	16
0	2	-1	10620	15
0	3	-1	10560	15
0	4	-1	10614	15
0	5	-1	10647	15
0	6	-1	10547	16
0	7	-1	10647	16
0	8	-1	10592	15
0	9	-1	17256	17
0	10	-1	10663	15
1	1	-1	14117	15
1	2	-1	20867	15
1	3	-1	10787	15
1	4	-1	20766	15
1	5	-1	20857	16
1	6	-1	10840	16
1	7	-1	14165	14
1	8	-1	20840	14
1	9	-1	27553	16
1	10	-1	11015	15
2	1	-1	24339	15
2	2	-1	31114	14
2	3	-1	21084	15
2	4	-1	39183	16
2	5	-1	31154	17
2	6	-1	27459	15
2	7	-1	26854	16
2	8	-1	31051	15
2	9	-1	37799	15
2	10	-1	25592	15
3	1	-1	40883	17
3	2	-1	41378	15
3	3	-1	40907	15
3	4	-1	49427	14
3	5	-1	31404	15
3	6	-1	45858	15
3	7	-1	37151	15
3	8	-1	41348	15
3	9	-1	48096	15
3	10	-1	35841	16
4	1	-1	51155	16
4	2	-1	41708	16
4	3	-1	58336	15
4	4	-1	59699	15
4	5	-1	41654	14
4	6	-1	56155	17
4	7	-1	37389	16
4	8	-1	59120	14
4	9	-1	58278	14
4	10	-1	46138	16
5	1	-1	68811	14
5	2	-1	60122	15
5	3	-1	68633	16
5	4	-1	59967	15
5	5	-1	51951	13
5	6	-1	70052	15
5	7	-1	47686	15
5	8	-1	69417	14
5	9	-1	68534	15
5	10	-1	69496	15
6	1	-1	83160	17
6	2	-1	78504	16
6	3	-1	78890	15
6	4	-1	70264	16
6	5	-1	61108	18
6	6	-1	80228	16
6	7	-1	57983	16
6	8	-1	79714	16
6	9	-1	78775	15
6	10	-1	69831	17
7	1	-1	93407	16
7	2	-1	88801	16
7	3	-1	95623	15
7	4	-1	80561	17
7	5	-1	61428	17
7	6	-1	94845	16
7	7	-1	68162	16
7	8	-1	100403	15
7	9	-1	89044	14
7	10	-1	80095	15
8	1	-1	103634	16
8	2	-1	101384	16
8	3	-1	105882	15
8	4	-1	80855	16
8	5	-1	71659	16
8	6	-1	95181	16
8	7	-1	75626	16
8	8	-1	113706	16
8	9	-1	99316	16
8	10	-1	94739	14
9	1	-1	121179	15
9	2	-1	111647	17
9	3	-1	116081	16
9	4	-1	81170	16
9	5	-1	71991	16
9	6	-1	105478	14
9	7	-1	85923	16
9	8	-1	123927	15
9	9	-1	109594	16
9	10	-1	104992	15
