iter 	 particle_index 	 TN_Cost 	 PT_Veh 	 RS_Veh

-1	0	783	388	7
-1	1	352	172	8
-1	2	431	212	7
-1	3	435	214	7
-1	4	477	235	7
-1	5	394	193	8
-1	6	385	189	7
-1	7	409	201	7
-1	8	421	207	7
-1	9	477	235	7
-1	10	459	226	7
0	1	359	172	15
0	2	400	193	14
0	3	453	218	17
0	4	498	242	14
0	5	388	186	16
0	6	238	112	14
0	7	376	180	16
0	8	391	188	15
0	9	443	215	13
0	10	328	157	14
1	1	196	91	14
1	2	267	129	9
1	3	292	140	12
1	4	383	184	15
1	5	322	156	10
1	6	233	112	9
1	7	218	103	12
1	8	327	159	9
1	9	252	121	10
1	10	341	165	11
2	1	200	94	12
2	2	248	118	12
2	3	267	128	11
2	4	291	141	9
2	5	222	105	12
2	6	224	105	14
2	7	200	95	10
2	8	371	180	11
2	9	193	91	11
2	10	220	104	12
3	1	194	91	12
3	2	210	99	12
3	3	228	108	12
3	4	194	91	12
3	5	196	93	10
3	6	193	91	11
3	7	184	85	14
3	8	380	184	12
3	9	204	97	10
3	10	221	104	13
4	1	202	95	12
4	2	181	85	11
4	3	210	100	10
4	4	174	81	12
4	5	184	85	14
4	6	216	102	12
4	7	184	86	12
4	8	328	158	12
4	9	196	92	12
4	10	183	85	13
5	1	170	81	8
5	2	177	81	15
5	3	173	81	11
5	4	229	109	11
5	5	172	81	10
5	6	206	98	10
5	7	174	81	12
5	8	139	63	13
5	9	194	93	8
5	10	204	96	12
6	1	139	63	13
6	2	164	77	10
6	3	174	81	12
6	4	157	74	9
6	5	282	135	12
6	6	241	115	11
6	7	138	63	12
6	8	185	87	11
6	9	155	73	9
6	10	140	63	14
7	1	138	63	12
7	2	168	77	14
7	3	123	56	11
7	4	159	73	13
7	5	172	81	10
7	6	138	63	12
7	7	140	63	14
7	8	146	68	10
7	9	218	103	12
7	10	139	63	13
8	1	129	58	13
8	2	124	56	12
8	3	125	56	13
8	4	204	97	10
8	5	130	58	14
8	6	136	61	14
8	7	150	69	12
8	8	126	57	12
8	9	139	66	7
8	10	130	60	10
9	1	140	64	12
9	2	124	56	12
9	3	206	97	12
9	4	168	79	10
9	5	113	51	11
9	6	153	70	13
9	7	211	100	11
9	8	135	60	15
9	9	146	66	14
9	10	170	80	10
