iter 	 particle_index 	 TN_Cost 	 PT_Veh 	 RS_Veh

-1	0	779	388	3
-1	1	511	253	5
-1	2	483	240	3
-1	3	460	228	4
-1	4	393	195	3
-1	5	524	260	4
-1	6	443	219	5
-1	7	428	212	4
-1	8	428	212	4
-1	9	343	170	3
-1	10	339	167	5
0	1	456	222	12
0	2	418	202	14
0	3	221	103	15
0	4	347	166	15
0	5	338	161	16
0	6	241	113	15
0	7	333	160	13
0	8	362	174	14
0	9	471	227	17
0	10	333	159	15
1	1	377	184	9
1	2	314	152	10
1	3	251	123	5
1	4	292	141	10
1	5	244	117	10
1	6	323	159	5
1	7	296	143	10
1	8	273	132	9
1	9	368	177	14
1	10	213	101	11
2	1	236	111	14
2	2	214	101	12
2	3	217	101	15
2	4	217	101	15
2	5	216	101	14
2	6	224	106	12
2	7	226	105	16
2	8	293	140	13
2	9	207	97	13
2	10	218	102	14
3	1	271	129	13
3	2	226	107	12
3	3	257	123	11
3	4	142	65	12
3	5	311	151	9
3	6	289	137	15
3	7	207	97	13
3	8	175	80	15
3	9	237	112	13
3	10	230	107	16
4	1	161	74	13
4	2	195	92	11
4	3	205	96	13
4	4	156	72	12
4	5	160	75	10
4	6	316	151	14
4	7	162	74	14
4	8	161	74	13
4	9	142	65	12
4	10	190	88	14
5	1	150	67	16
5	2	137	63	11
5	3	163	75	13
5	4	127	58	11
5	5	145	67	11
5	6	139	63	13
5	7	149	70	9
5	8	172	80	12
5	9	158	73	12
5	10	179	84	11
6	1	110	49	12
6	2	154	71	12
6	3	139	64	11
6	4	130	59	12
6	5	135	61	13
6	6	152	70	12
6	7	165	77	11
6	8	154	72	10
6	9	122	53	16
6	10	139	64	11
7	1	111	49	13
7	2	146	67	12
7	3	225	105	15
7	4	133	60	13
7	5	107	47	13
7	6	112	49	14
7	7	111	49	13
7	8	190	89	12
7	9	154	71	12
7	10	137	62	13
8	1	200	94	12
8	2	109	47	15
8	3	128	59	10
8	4	105	47	11
8	5	105	47	11
8	6	110	49	12
8	7	254	121	12
8	8	105	47	11
8	9	111	49	13
8	10	135	62	11
9	1	107	47	13
9	2	101	44	13
9	3	109	47	15
9	4	179	84	11
9	5	109	47	15
9	6	107	47	13
9	7	104	47	10
9	8	156	71	14
9	9	171	79	13
9	10	137	62	13
